,pH
0,7.799999999999608
1,7.799999999999608
2,7.799999999999608
3,7.799658903976296
4,7.799311373478187
5,7.798961343963945
6,7.798601328223766
7,7.798232693829486
8,7.797854791430376
9,7.797467345544394
10,7.797072904380959
11,7.796672195999855
12,7.796255371916107
13,7.795836304621055
14,7.795405224338864
15,7.794961599782592
16,7.794510783175952
17,7.794057861098995
18,7.793595100375872
19,7.79312705629963
20,7.792649458897866
21,7.792160507698371
22,7.791667316042451
23,7.791162022851533
24,7.7906545061264385
25,7.79013333336046
26,7.7896056769267
27,7.789066332181305
28,7.788512918171989
29,7.787952223564642
30,7.787375836316274
31,7.786791430571361
32,7.786196605700073
33,7.785596340057423
34,7.784977892596271
35,7.784337209794534
36,7.783680303065028
37,7.783024576973274
38,7.782351475832143
39,7.781673740688765
40,7.780983244821269
41,7.780280696612105
42,7.7795554112913265
43,7.778822786340937
44,7.778077292440818
45,7.777313252692586
46,7.77655059035536
47,7.77575907126849
48,7.774963164145696
49,7.77415042309954
50,7.773328630499288
51,7.7724799882326385
52,7.771628689531946
53,7.770771290871246
54,7.7699064246782
55,7.7690302145260794
56,7.768129988239035
57,7.767196330230875
58,7.76627088749355
59,7.765325098436174
60,7.764373671834938
61,7.763431070499439
62,7.762457497105461
63,7.761484277904087
64,7.7605374557912095
65,7.75957203863669
66,7.758609228724383
67,7.757639177568302
68,7.756669067380158
69,7.755675305087183
70,7.754691509343102
71,7.753702538470756
72,7.75269544481246
